,MinSP = 12
09:00:00,55
09:30:00,55
10:00:00,55
10:30:00,55
11:00:00,55
11:30:00,55
12:00:00,55
12:30:00,55
13:00:00,55
13:30:00,55
14:00:00,55
14:30:00,55
15:00:00,55
15:30:00,55
16:00:00,55
16:30:00,42.5
