,0
0,66.15667098958333
1,62.49979119791666
2,64.15507468749999
3,66.44880567708333
4,65.258328125
5,63.355462812499994
6,63.44346317708333
7,61.90629786458333
8,83.1622415625
9,77.90265177083333
10,69.65071114583333
11,65.86532302083333
12,70.47263656249999
13,76.86754713541666
14,87.53100984375001
15,88.83483026041665
16,92.48479984375
17,80.345146875
18,83.2095646875
19,80.08216171875
20,67.977818125
21,68.17925078125
22,63.94637026041666
23,62.87425078124999
24,62.5841784375
25,61.43423744791666
26,60.83162520833333
27,60.61383411458333
28,59.48143114583335
29,57.662774375
30,59.72949052083334
31,61.57993765625001
32,62.04142932291667
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,9.3221503125
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,17.137855885416748
57,12.258729479166675
58,0.0
59,0.0
60,0.0
61,0.0
62,19.658853072916656
63,77.27846494791667
64,0.0
65,0.0
66,42.13267805260413
67,71.97075749999999
68,66.10827979166666
69,65.85251875
70,62.86292208333334
71,63.80850427083333
72,62.46682125
73,60.651254270833334
74,59.7493440625
75,59.267612708333324
76,325.6299293718929
77,473.46140453124997
78,472.1386134375
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,87.75344140625
87,118.37441171875
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,60.98264789262081
99,71.33978755208334
100,71.31690703125
101,70.26362317708333
102,71.34265286458333
103,66.01729442708334
104,69.67723182291667
105,36.77667171874998
106,14.787371927083328
107,34.85401203124998
108,0.0
109,0.0
110,65.00750333333333
111,113.82133895833333
112,10.060296207812442
113,107.64483479166667
114,102.36425260416665
115,90.49202848958333
116,73.05538656249999
117,70.53393869791668
118,67.85055020833335
119,67.77716171875001
120,65.21686869791667
121,65.9693546875
122,64.86905598958333
123,66.7600853125
124,478.62545822916667
125,478.97326453125
126,477.30309710069446
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,91.31469338541666
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,223.01619628084882
149,397.66333474105124
150,475.16089838541666
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,42.747246614583325
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,32.67777865507311
174,65.56125427083333
175,64.02313385416666
176,81.14610760416667
177,29.076114479166655
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,86.91650078125
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,34.667323690624855
195,60.888149114583335
196,111.63342013360067
197,167.63322891051808
198,284.8731017451215
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,23.577793333333304
208,0.0
209,0.0
210,0.0
211,0.0
